DEBUG:root:start insert company for 'AAPL'
DEBUG:root:insert value for 'AAPL' in '2017-07-25'
DEBUG:root:insert value for 'AAPL' in '2017-07-24'
DEBUG:root:insert value for 'AAPL' in '2017-07-21'
DEBUG:root:insert value for 'AAPL' in '2017-07-20'
DEBUG:root:insert value for 'AAPL' in '2017-07-19'
DEBUG:root:insert value for 'AAPL' in '2017-07-18'
DEBUG:root:insert value for 'AAPL' in '2017-07-17'
DEBUG:root:insert value for 'AAPL' in '2017-07-14'
DEBUG:root:insert value for 'AAPL' in '2017-07-13'
DEBUG:root:insert value for 'AAPL' in '2017-07-12'
DEBUG:root:insert value for 'AAPL' in '2017-07-11'
DEBUG:root:insert value for 'AAPL' in '2017-07-10'
DEBUG:root:insert value for 'AAPL' in '2017-07-07'
DEBUG:root:insert value for 'AAPL' in '2017-07-06'
DEBUG:root:insert value for 'AAPL' in '2017-07-05'
DEBUG:root:insert value for 'AAPL' in '2017-07-03'
DEBUG:root:insert value for 'AAPL' in '2017-06-30'
DEBUG:root:insert value for 'AAPL' in '2017-06-29'
DEBUG:root:insert value for 'AAPL' in '2017-06-28'
DEBUG:root:insert value for 'AAPL' in '2017-06-27'
DEBUG:root:insert value for 'AAPL' in '2017-06-26'
DEBUG:root:insert value for 'AAPL' in '2017-06-23'
DEBUG:root:insert value for 'AAPL' in '2017-06-22'
DEBUG:root:insert value for 'AAPL' in '2017-06-21'
DEBUG:root:insert value for 'AAPL' in '2017-06-20'
DEBUG:root:insert value for 'AAPL' in '2017-06-19'
DEBUG:root:insert value for 'AAPL' in '2017-06-16'
DEBUG:root:insert value for 'AAPL' in '2017-06-15'
DEBUG:root:insert value for 'AAPL' in '2017-06-14'
DEBUG:root:insert value for 'AAPL' in '2017-06-13'
DEBUG:root:insert value for 'AAPL' in '2017-06-12'
DEBUG:root:insert value for 'AAPL' in '2017-06-09'
DEBUG:root:insert value for 'AAPL' in '2017-06-08'
DEBUG:root:insert value for 'AAPL' in '2017-06-07'
DEBUG:root:insert value for 'AAPL' in '2017-06-06'
DEBUG:root:insert value for 'AAPL' in '2017-06-05'
DEBUG:root:insert value for 'AAPL' in '2017-06-02'
DEBUG:root:insert value for 'AAPL' in '2017-06-01'
DEBUG:root:insert value for 'AAPL' in '2017-05-31'
DEBUG:root:insert value for 'AAPL' in '2017-05-30'
DEBUG:root:insert value for 'AAPL' in '2017-05-26'
DEBUG:root:insert value for 'AAPL' in '2017-05-25'
DEBUG:root:insert value for 'AAPL' in '2017-05-24'
DEBUG:root:insert value for 'AAPL' in '2017-05-23'
DEBUG:root:insert value for 'AAPL' in '2017-05-22'
DEBUG:root:insert value for 'AAPL' in '2017-05-19'
DEBUG:root:insert value for 'AAPL' in '2017-05-18'
DEBUG:root:insert value for 'AAPL' in '2017-05-17'
DEBUG:root:insert value for 'AAPL' in '2017-05-16'
DEBUG:root:insert value for 'AAPL' in '2017-05-15'
DEBUG:root:insert value for 'AAPL' in '2017-05-12'
DEBUG:root:insert value for 'AAPL' in '2017-05-11'
DEBUG:root:insert value for 'AAPL' in '2017-05-10'
DEBUG:root:insert value for 'AAPL' in '2017-05-09'
DEBUG:root:insert value for 'AAPL' in '2017-05-08'
DEBUG:root:insert value for 'AAPL' in '2017-05-05'
DEBUG:root:insert value for 'AAPL' in '2017-05-04'
DEBUG:root:insert value for 'AAPL' in '2017-05-03'
DEBUG:root:insert value for 'AAPL' in '2017-05-02'
DEBUG:root:insert value for 'AAPL' in '2017-05-01'
DEBUG:root:insert value for 'AAPL' in '2017-04-28'
DEBUG:root:insert value for 'AAPL' in '2017-04-27'
DEBUG:root:insert value for 'AAPL' in '2017-04-26'
DEBUG:root:insert value for 'AAPL' in '2017-04-25'
